name,nameHi,aliases,kcal,proteinG,fatG,carbG,fibreG,sodiumMg,addedSugarG,saturatedFatG,tags,suitableFor,allergens,costTier,source,sourceRef,measures
Paratha (plain),सादा पराठा,paratha|parantha|prantha|plain paratha|sada paratha,360,8.5,14.0,50.0,6.5,240,0,6.0,gi:medium|attr:high_fat|meal:breakfast|cuisine:north,veg|eggetarian|non_veg|jain,wheat_gluten|milk,low,manual,,piece=60*
Aloo paratha,आलू पराठा,aloo paratha|alu paratha|potato paratha|aloo parantha,302,6.5,12.0,42.0,4.5,280,0,5.2,gi:high|attr:high_fat|meal:breakfast|cuisine:north,veg|eggetarian|non_veg,wheat_gluten|milk,low,manual,,piece=100*
Gobhi paratha,गोभी पराठा,gobhi paratha|gobi paratha|cauliflower paratha,296,7.0,12.0,40.0,5.0,290,0,5.2,gi:medium|attr:high_fat|meal:breakfast|cuisine:north,veg|eggetarian|non_veg|jain,wheat_gluten|milk,low,manual,,piece=100*
Paneer paratha,पनीर पराठा,paneer paratha|panner paratha|cottage cheese paratha,331,11.0,15.0,38.0,4.0,300,0,7.5,gi:medium|attr:high_protein|attr:high_fat|meal:breakfast|cuisine:north,veg|eggetarian|non_veg|jain,wheat_gluten|milk,medium,manual,,piece=110*
Methi thepla,मेथी थेपला,thepla|methi thepla|methi na thepla|fenugreek flatbread,341,8.0,13.0,48.0,7.0,270,0,3.0,gi:medium|attr:high_fibre|meal:breakfast|cuisine:west,veg|eggetarian|non_veg|vegan|jain,wheat_gluten,low,manual,,piece=40*
Khakhra,खाखरा,khakhra|khakra|kakhra,377,12.0,9.0,62.0,9.0,300,0,2.0,gi:medium|attr:high_fibre|meal:snack|cuisine:west,veg|eggetarian|non_veg|vegan|jain,wheat_gluten,low,manual,,piece=15*
Poori,पूरी,poori|puri|puree|fried bread,420,7.5,22.0,48.0,5.5,210,0,9.5,gi:high|attr:fried|attr:high_fat|meal:breakfast|cuisine:north,veg|eggetarian|non_veg|vegan|jain,wheat_gluten,low,manual,,piece=25*
Bhatura,भटूरा,bhatura|bhature|batura,376,8.0,16.0,50.0,2.5,300,1.0,7.0,gi:high|attr:fried|attr:high_fat|meal:lunch|cuisine:north,veg|eggetarian|non_veg|jain,wheat_gluten|milk,low,manual,,piece=70*
Rice (cooked white),चावल,rice|chawal|chaval|white rice|steamed rice|boiled rice|bhat|saada chawal,126,2.7,0.3,28.0,0.4,1,0,0.1,gi:high|meal:lunch,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Rice (cooked brown),ब्राउन चावल,brown rice|brown chawal|bhura chawal,110,2.6,0.9,23.0,1.8,4,0,0.2,gi:medium|attr:high_fibre|meal:lunch,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Basmati rice (cooked),बासमती चावल,basmati|basmati rice|basmati chawal,116,3.0,0.4,25.0,0.7,2,0,0.1,gi:medium|meal:lunch,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Parboiled rice (cooked),उसना चावल,parboiled rice|usna chawal|sela rice|sella chawal|ukda chawal,119,2.9,0.4,26.0,0.9,3,0,0.1,gi:medium|meal:lunch|cuisine:east,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Poha (cooked),पोहा,poha|pohe|aval|atukulu|flattened rice|beaten rice,156,2.8,4.5,26.0,1.2,290,0,1.0,gi:high|meal:breakfast|cuisine:west,veg|eggetarian|non_veg|vegan,,low,manual,,katori=150*|plate=200
Upma,उपमा,upma|uppma|uppittu|rava upma,156,3.5,6.0,22.0,1.8,300,0,1.5,gi:medium|meal:breakfast|cuisine:south,veg|eggetarian|non_veg|vegan,wheat_gluten,low,manual,,katori=150*|plate=200
Daliya (cooked),दलिया,daliya|dalia|broken wheat|cracked wheat|lapsi|godhuma rava,108,3.5,1.5,20.0,3.0,180,0,0.3,gi:low|attr:high_fibre|meal:breakfast,veg|eggetarian|non_veg|vegan|jain,wheat_gluten,low,manual,,katori=150*
Oats porridge (cooked in water),ओट्स दलिया,oats|oatmeal|oats porridge|jai|oats dalia,71,2.5,1.4,12.0,1.7,50,0,0.3,gi:low|attr:high_fibre|meal:breakfast|cuisine:global,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*|bowl=200
Oats (raw rolled),ओट्स कच्चा,rolled oats|raw oats|oat flakes|instant oats,364,13.2,7.0,62.0,10.1,6,0,1.2,gi:low|attr:high_fibre|meal:breakfast|cuisine:global,veg|eggetarian|non_veg|vegan|jain,,low,manual,,cup=80*|tbsp=10
Quinoa (cooked),क्विनोआ,quinoa|kinwa|keenwa|kwinoa,119,4.4,1.9,21.0,2.8,7,0,0.2,gi:low|attr:high_fibre|meal:lunch|cuisine:global,veg|eggetarian|non_veg|vegan|jain,,premium,manual,,katori=150*
Muesli (fruit and nut),म्यूसली,muesli|musli|mueslee,376,10.0,8.0,66.0,8.0,120,12.0,1.5,gi:medium|attr:high_fibre|meal:breakfast|cuisine:global,veg|eggetarian|non_veg,wheat_gluten|tree_nut|milk,medium,manual,,cup=60*
Cornflakes (plain),कॉर्नफ्लेक्स,cornflakes|corn flakes|makai flakes,372,7.0,0.9,84.0,3.0,650,8.0,0.2,gi:high|attr:high_sodium|meal:breakfast|cuisine:global,veg|eggetarian|non_veg|vegan|jain,,medium,manual,,cup=30*
White bread,सफेद ब्रेड,bread|white bread|safed bread|pav|slice bread|double roti,262,8.0,3.3,50.0,2.5,490,4.0,0.8,gi:high|attr:high_sodium|meal:breakfast|cuisine:global,veg|eggetarian|non_veg|vegan|jain,wheat_gluten|soy,low,manual,,slice=25*
Brown bread,ब्राउन ब्रेड,brown bread|whole wheat bread|atta bread,260,9.0,3.5,48.0,5.0,470,3.0,0.8,gi:medium|attr:high_fibre|meal:breakfast|cuisine:global,veg|eggetarian|non_veg|vegan|jain,wheat_gluten|soy,low,manual,,slice=25*
Multigrain bread,मल्टीग्रेन ब्रेड,multigrain bread|multi grain bread|seeded bread,260,10.0,4.5,45.0,7.0,450,3.0,1.0,gi:medium|attr:high_fibre|meal:breakfast|cuisine:global,veg|eggetarian|non_veg|vegan|jain,wheat_gluten|soy|sesame,medium,manual,,slice=30*
Pasta (cooked),पास्ता,pasta|macaroni|penne|spaghetti,157,5.8,1.1,31.0,1.8,6,0,0.2,gi:medium|meal:lunch|cuisine:global,veg|eggetarian|non_veg|vegan|jain,wheat_gluten,medium,manual,,katori=150*
Instant noodles (cooked),इंस्टेंट नूडल्स,noodles|maggi|instant noodles|ramen|2 minute noodles|magi,301,6.0,13.0,40.0,2.0,1100,1.0,6.0,gi:high|attr:high_sodium|attr:high_fat|meal:snack|cuisine:global,veg|eggetarian|non_veg|vegan,wheat_gluten,low,manual,,packet=70*
Idli,इडली,idli|idly|iddli|steamed rice cake,122,4.5,0.5,25.0,1.0,180,0,0.1,gi:medium|meal:breakfast|cuisine:south,veg|eggetarian|non_veg|vegan|jain,,low,manual,,piece=40*
Plain dosa,सादा डोसा,dosa|dosai|plain dosa|sada dosa|dose,199,4.0,7.0,30.0,1.5,220,0,1.5,gi:medium|meal:breakfast|cuisine:south,veg|eggetarian|non_veg|vegan|jain,,low,manual,,piece=80*
Masala dosa,मसाला डोसा,masala dosa|masala dosai|masaala dosa,223,4.5,9.0,31.0,2.0,280,0,2.0,gi:high|meal:breakfast|cuisine:south,veg|eggetarian|non_veg|vegan,,low,manual,,piece=150*
Uttapam,उत्तपम,uttapam|uthappam|ootapam|utapam,186,5.0,6.0,28.0,2.0,260,0,1.3,gi:medium|meal:breakfast|cuisine:south,veg|eggetarian|non_veg|vegan,,low,manual,,piece=110*
Appam,अप्पम,appam|aappam|palappam,156,3.5,2.5,30.0,1.0,150,1.0,1.8,gi:medium|meal:breakfast|cuisine:south,veg|eggetarian|non_veg|vegan|jain,,low,manual,,piece=60*
Dhokla,ढोकला,dhokla|dhokhla|khaman|khaman dhokla,172,6.0,4.0,28.0,2.5,320,3.0,0.6,gi:medium|meal:snack|cuisine:west,veg|eggetarian|non_veg|vegan|jain,,low,manual,,piece=40*
Khichdi (moong dal),खिचड़ी,khichdi|khichri|kichdi|khichadi|pongal,126,4.5,3.5,19.0,2.0,240,0,1.5,gi:medium|meal:dinner|cuisine:north,veg|eggetarian|non_veg|jain,,low,manual,,katori=150*|bowl=250
Veg pulao,वेज पुलाव,pulao|pulav|veg pulao|pilaf|vegetable rice|pulaav,159,3.5,5.0,25.0,1.6,290,0,2.0,gi:high|meal:lunch|cuisine:north,veg|eggetarian|non_veg|vegan,,low,manual,,katori=150*
Veg biryani,वेज बिरयानी,veg biryani|vegetable biryani|veg biriyani|sabzi biryani,174,4.0,6.0,26.0,1.8,340,0,2.4,gi:high|meal:lunch|cuisine:north,veg|eggetarian|non_veg,milk,medium,manual,,katori=180*|plate=300
Chicken biryani,चिकन बिरयानी,chicken biryani|chicken biriyani|murgh biryani|chiken biryani,208,9.0,8.0,25.0,1.4,380,0,3.0,gi:high|attr:high_protein|meal:lunch|cuisine:north,non_veg,milk,medium,manual,,katori=180*|plate=300
Veg fried rice,वेज फ्राइड राइस,fried rice|veg fried rice|chinese fried rice,172,3.5,6.0,26.0,1.5,520,0,1.4,gi:high|attr:high_sodium|meal:lunch|cuisine:global,veg|eggetarian|non_veg|vegan,soy,low,manual,,katori=150*
Sabudana khichdi,साबूदाना खिचड़ी,sabudana khichdi|sabudana|sago khichdi|javvarisi|tapioca pearls|sabudaana,200,2.0,8.0,30.0,0.8,220,0,1.5,gi:high|meal:breakfast|cuisine:west,veg|eggetarian|non_veg|jain,peanut,low,manual,,katori=150*
Puffed rice (murmura),मुरमुरा,murmura|murmure|puffed rice|mamra|pori|kurmura|lai,353,7.5,1.2,78.0,2.0,10,0,0.3,gi:high|meal:snack,veg|eggetarian|non_veg|vegan|jain,,low,manual,,cup=15*
Suji / rava (raw),सूजी,suji|sooji|rava|semolina|ravva,347,10.4,1.0,74.0,2.1,4,0,0.2,gi:high|meal:breakfast,veg|eggetarian|non_veg|vegan|jain,wheat_gluten,low,manual,,cup=160*|tbsp=12
Wheat flour (atta),गेहूं का आटा,atta|wheat flour|gehu ka atta|whole wheat flour|gehun atta,340,12.1,1.7,69.0,11.0,3,0,0.3,gi:medium|attr:high_fibre,veg|eggetarian|non_veg|vegan|jain,wheat_gluten,low,manual,,cup=120*|tbsp=9
Maida (refined flour),मैदा,maida|refined flour|all purpose flour|white flour,348,11.0,0.9,74.0,2.7,2,0,0.2,gi:high,veg|eggetarian|non_veg|vegan|jain,wheat_gluten,low,manual,,cup=120*|tbsp=9
Besan (gram flour),बेसन,besan|gram flour|chickpea flour|chana flour|besan atta,370,22.0,5.6,58.0,10.0,64,0,0.6,gi:low|attr:high_protein|attr:high_fibre,veg|eggetarian|non_veg|vegan|jain,,low,manual,,cup=90*|tbsp=7
Sattu (roasted gram),सत्तू,sattu|sattoo|roasted gram flour,365,20.0,5.0,60.0,12.0,40,0,0.6,gi:low|attr:high_protein|attr:high_fibre|meal:breakfast|cuisine:east,veg|eggetarian|non_veg|vegan|jain,,low,manual,,tbsp=12|glass=200*
Dal (arhar cooked),अरहर दाल,arhar dal|toor dal|tur dal|pigeon pea|dal|thuvaram paruppu|kandi pappu|arahar,116,6.8,2.7,16.0,3.2,240,0,0.5,gi:low|attr:high_fibre|meal:lunch,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
"Moong dal (dhuli, cooked)",मूंग दाल,moong dal|mung dal|yellow moong dal|dhuli moong|pesara pappu,112,7.0,1.8,17.0,3.0,230,0,0.4,gi:low|attr:high_protein|attr:high_fibre|meal:dinner,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Moong sabut (cooked),साबुत मूंग,sabut moong|whole moong|green gram|hara moong|mung bean,113,7.5,0.8,19.0,7.0,220,0,0.2,gi:low|attr:high_fibre|attr:high_protein|meal:lunch,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Sprouted moong,अंकुरित मूंग,sprouts|moong sprouts|ankurit moong|sprouted mung|green gram sprouts,93,7.6,0.7,14.0,5.0,12,0,0.2,gi:low|attr:high_protein|attr:high_fibre|meal:snack,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=100*
Masoor dal (cooked),मसूर दाल,masoor dal|masur dal|red lentil|lal masoor|dal masoor,116,7.5,2.0,17.0,4.0,235,0,0.3,gi:low|attr:high_protein|attr:high_fibre|meal:lunch,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Chana dal (cooked),चना दाल,chana dal|channa dal|bengal gram|split chickpea|senaga pappu,134,8.0,2.5,20.0,6.0,240,0,0.4,gi:low|attr:high_protein|attr:high_fibre|meal:lunch,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Urad dal (cooked),उड़द दाल,urad dal|urd dal|black gram|maa ki dal|minapappu,122,7.5,2.2,18.0,4.2,240,0,0.4,gi:low|attr:high_protein|attr:high_fibre|meal:dinner,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Dal makhani,दाल मखनी,dal makhani|dal makhni|makhani dal|kali dal|daal makhani,167,6.5,9.0,15.0,4.5,320,0,5.0,gi:low|attr:high_fat|meal:dinner|cuisine:north,veg|eggetarian|non_veg|jain,milk,medium,manual,,katori=150*
Rajma (cooked),राजमा,rajma|kidney beans|red kidney beans|raajma,127,8.7,0.5,22.0,6.4,230,0,0.1,gi:low|attr:high_protein|attr:high_fibre|meal:lunch|cuisine:north,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
"Chole (kabuli chana, cooked)",छोले,chole|chana|kabuli chana|chickpeas|garbanzo|safed chana|chhole,167,8.9,2.6,27.0,7.6,250,0,0.3,gi:low|attr:high_protein|attr:high_fibre|meal:lunch|cuisine:north,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Kala chana (cooked),काला चना,kala chana|black chana|brown chickpea|desi chana,160,8.5,2.5,26.0,8.0,240,0,0.3,gi:low|attr:high_protein|attr:high_fibre|attr:iron_rich|meal:breakfast,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Lobia (cooked),लोबिया,lobia|black eyed peas|chawli|rongi|alsande|lobhia,116,7.8,0.5,20.0,6.0,230,0,0.1,gi:low|attr:high_protein|attr:high_fibre|meal:lunch,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Moth bean (cooked),मोठ,moth|matki|moth bean|turkish gram|dew bean,115,7.5,0.6,20.0,6.0,225,0,0.1,gi:low|attr:high_protein|attr:high_fibre|meal:lunch|cuisine:west,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Soybean (cooked),सोयाबीन,soybean|soya bean|bhat|soy|soyabean,187,16.6,9.0,9.9,6.0,15,0,1.3,gi:low|attr:high_protein|meal:lunch,veg|eggetarian|non_veg|vegan|jain,soy,low,manual,,katori=150*
Soya chunks (dry),सोया चंक्स,soya chunks|soy chunks|nutrela|meal maker|soya nuggets|nutri nuggets,344,52.0,0.5,33.0,13.0,20,0,0.1,gi:low|attr:high_protein|attr:high_fibre|meal:lunch,veg|eggetarian|non_veg|vegan|jain,soy,low,manual,,cup=50*|katori=40
Tofu,टोफू,tofu|bean curd|soya paneer|tofoo,83,8.1,4.8,1.9,0.9,14,0,0.7,gi:low|attr:high_protein|attr:calcium_rich|meal:dinner|cuisine:global,veg|eggetarian|non_veg|vegan|jain,soy,medium,manual,,katori=100*
Sambar,सांबर,sambar|sambhar|saambar|sambar dal,72,3.5,2.5,9.0,2.4,300,0,0.5,gi:low|attr:high_fibre|meal:breakfast|cuisine:south,veg|eggetarian|non_veg|vegan,,low,manual,,katori=150*
Green peas (cooked),हरी मटर,matar|green peas|hari matar|peas|mutter,85,5.4,0.4,15.0,5.0,5,0,0.1,gi:low|attr:high_fibre|meal:lunch,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=100*
Dried peas (cooked),सूखी मटर,dried peas|sukhi matar|safed matar|white peas|ragda,121,8.3,0.4,21.0,8.0,10,0,0.1,gi:low|attr:high_protein|attr:high_fibre|meal:lunch,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Rajma curry,राजमा करी,rajma curry|rajma masala|kidney bean curry|rajma chawal,141,6.0,5.0,18.0,5.5,330,0,1.2,gi:low|attr:high_fibre|meal:lunch|cuisine:north,veg|eggetarian|non_veg|vegan,,low,manual,,katori=150*
Chana masala,चना मसाला,chana masala|chole masala|chhole masala|chickpea curry,170,7.0,6.0,22.0,6.5,340,0,1.4,gi:low|attr:high_fibre|meal:lunch|cuisine:north,veg|eggetarian|non_veg|vegan,,low,manual,,katori=150*
Dal tadka,दाल तड़का,dal tadka|dal fry|tadka dal|dal tarka|daal fry,134,6.2,5.5,15.0,3.0,300,0,2.2,gi:low|attr:high_fibre|meal:dinner|cuisine:north,veg|eggetarian|non_veg,milk,low,manual,,katori=150*
"Milk (full fat, cow)",दूध,milk|doodh|dudh|cow milk|full cream milk|full fat milk|milkk,68,3.2,4.1,4.7,0,44,0,2.4,gi:low|attr:calcium_rich|meal:breakfast,veg|eggetarian|non_veg|jain,milk,low,manual,,glass=200*|cup=240
Milk (toned),टोन्ड दूध,toned milk|toned doodh,59,3.1,3.0,4.8,0,45,0,1.8,gi:low|attr:calcium_rich|meal:breakfast,veg|eggetarian|non_veg|jain,milk,low,manual,,glass=200*
Milk (double toned),डबल टोन्ड दूध,double toned milk|dtm milk,47,3.3,1.5,5.0,0,46,0,0.9,gi:low|attr:calcium_rich|attr:low_fat|meal:breakfast,veg|eggetarian|non_veg|jain,milk,low,manual,,glass=200*
Skimmed milk,स्किम्ड दूध,skimmed milk|skim milk|fat free milk|malai rahit doodh,35,3.4,0.2,5.0,0,47,0,0.1,gi:low|attr:calcium_rich|attr:low_fat|meal:breakfast,veg|eggetarian|non_veg|jain,milk,low,manual,,glass=200*
Buffalo milk,भैंस का दूध,buffalo milk|bhains ka doodh|bhens milk,96,4.3,6.5,5.0,0,42,0,4.0,gi:low|attr:calcium_rich|attr:high_fat|meal:breakfast,veg|eggetarian|non_veg|jain,milk,low,manual,,glass=200*
Curd (full fat),दही,curd|dahi|dahee|yogurt|yoghurt|thayir|perugu|mosaru,62,3.1,4.0,3.4,0,45,0,2.6,gi:low|attr:calcium_rich|attr:probiotic,veg|eggetarian|non_veg|jain,milk,low,manual,,katori=150*|bowl=200
Curd (low fat),कम वसा दही,low fat curd|low fat dahi|toned curd|light yogurt,46,3.5,1.5,4.5,0,48,0,0.9,gi:low|attr:calcium_rich|attr:low_fat|attr:probiotic,veg|eggetarian|non_veg|jain,milk,low,manual,,katori=150*
Greek yogurt (plain),ग्रीक योगर्ट,greek yogurt|greek yoghurt|hung curd|chakka,88,9.0,4.0,4.0,0,36,0,2.6,gi:low|attr:high_protein|attr:calcium_rich|attr:probiotic|cuisine:global,veg|eggetarian|non_veg|jain,milk,premium,manual,,katori=150*
Paneer,पनीर,paneer|panner|panir|cottage cheese|indian cheese|panneer,293,18.3,22.8,3.6,0,22,0,14.0,gi:low|attr:calcium_rich|attr:high_protein|attr:high_fat,veg|eggetarian|non_veg|jain,milk,medium,manual,,katori=100*
Paneer (low fat),कम वसा पनीर,low fat paneer|skim paneer|light paneer,168,20.0,8.0,4.0,0,25,0,5.0,gi:low|attr:high_protein|attr:calcium_rich|attr:low_fat,veg|eggetarian|non_veg|jain,milk,medium,manual,,katori=100*
Khoya (mawa),खोया,khoya|khoa|mawa|mava|dried whole milk,372,14.6,25.9,20.0,0,60,0,16.0,gi:low|attr:high_fat|attr:calcium_rich,veg|eggetarian|non_veg|jain,milk,medium,manual,,tbsp=15|katori=100*
Processed cheese,चीज़,cheese|cheese slice|processed cheese|cheddar|chees,332,22.0,26.0,2.5,0,1200,0,16.0,gi:low|attr:high_fat|attr:high_sodium|attr:calcium_rich|cuisine:global,veg|eggetarian|non_veg|jain,milk,medium,manual,,slice=20*
Butter,मक्खन,butter|makhan|makkhan|white butter|butterr,733,0.5,81.0,0.5,0,750,0,51.0,gi:low|attr:high_fat|attr:high_sodium,veg|eggetarian|non_veg|jain,milk,medium,manual,,tsp=5*|tbsp=14
Ghee,घी,ghee|clarified butter|desi ghee|tup|neyyi|ghii,896,0,99.5,0,0,2,0,62.0,gi:low|attr:high_fat,veg|eggetarian|non_veg|jain,milk,medium,manual,,tsp=5*|tbsp=14
Fresh cream,मलाई क्रीम,cream|fresh cream|whipping cream|malai cream,245,2.1,25.0,3.0,0,38,0,16.0,gi:low|attr:high_fat,veg|eggetarian|non_veg|jain,milk,medium,manual,,tbsp=15*
Buttermilk (chaas),छाछ,chaas|chhach|buttermilk|mattha|majjige|neer mor|chhaas,23,1.5,0.8,2.5,0,180,0,0.5,gi:low|attr:low_fat|attr:hydrating|attr:probiotic,veg|eggetarian|non_veg|jain,milk,low,manual,,glass=200*
Sweet lassi,मीठी लस्सी,sweet lassi|meethi lassi|lassi,90,2.8,2.5,14.0,0,50,10.0,1.6,gi:high|attr:sugary|meal:snack|cuisine:north,veg|eggetarian|non_veg|jain,milk,low,manual,,glass=250*
Salted lassi,नमकीन लस्सी,salted lassi|namkeen lassi|namkeen chaas,52,2.8,2.8,4.0,0,320,0,1.8,gi:low|attr:hydrating|meal:snack|cuisine:north,veg|eggetarian|non_veg|jain,milk,low,manual,,glass=250*
Condensed milk (sweetened),कंडेंस्ड मिल्क,condensed milk|milkmaid|sweetened condensed milk,330,7.9,8.7,55.0,0,120,45.0,5.5,gi:high|attr:sugary,veg|eggetarian|non_veg|jain,milk,medium,manual,,tbsp=20*
Milk powder (whole),मिल्क पाउडर,milk powder|doodh powder|dairy whitener|whole milk powder,499,26.0,27.0,38.0,0,370,0,17.0,gi:medium|attr:calcium_rich|attr:high_protein,veg|eggetarian|non_veg|jain,milk,medium,manual,,tbsp=8*
Shrikhand,श्रीखंड,shrikhand|srikhand|shrikand,225,6.0,9.0,30.0,0,60,22.0,5.5,gi:high|attr:sugary|meal:snack|cuisine:west,veg|eggetarian|non_veg|jain,milk|tree_nut,medium,manual,,katori=100*
Boondi raita,बूंदी रायता,boondi raita|bundi raita,89,3.0,5.0,8.0,0.6,300,0,2.2,gi:medium|meal:lunch|cuisine:north,veg|eggetarian|non_veg|jain,milk,low,manual,,katori=150*
Cucumber raita,खीरे का रायता,cucumber raita|kheera raita|raita|khira raita,52,2.8,2.5,4.5,0.5,280,0,1.6,gi:low|attr:low_fat|meal:lunch|cuisine:north,veg|eggetarian|non_veg|jain,milk,low,manual,,katori=150*
Malai,मलाई,malai|cream layer|clotted cream|milk cream,292,2.5,30.0,3.0,0,35,0,19.0,gi:low|attr:high_fat,veg|eggetarian|non_veg|jain,milk,low,manual,,tbsp=15*
Whey protein powder,व्हे प्रोटीन,whey protein|protein powder|whey|protein supplement|protien powder,398,78.0,6.0,8.0,0,300,2.0,3.0,gi:low|attr:high_protein|meal:snack|cuisine:global,veg|eggetarian|non_veg|jain,milk|soy,premium,manual,,scoop=30*
Potato (boiled),उबला आलू,aloo|alu|potato|boiled potato|ubla aloo|batata|urulai|potatoe,88,1.9,0.1,20.0,1.8,6,0,0.1,gi:high|meal:lunch,veg|eggetarian|non_veg|vegan,,low,manual,,piece=100*|katori=150
Aloo sabzi,आलू की सब्ज़ी,aloo sabzi|potato curry|aloo ki sabzi|alu sabji,122,2.0,6.0,15.0,2.0,320,0,2.4,gi:high|meal:lunch|cuisine:north,veg|eggetarian|non_veg|vegan,,low,manual,,katori=150*
French fries,फ्रेंच फ्राइज़,french fries|fries|finger chips|potato fries,293,3.4,15.0,36.0,3.4,320,0,2.5,gi:high|attr:fried|attr:high_fat|meal:snack|cuisine:global,veg|eggetarian|non_veg|vegan,,medium,manual,,serving=100*
Onion (raw),प्याज़,onion|pyaz|pyaaz|kanda|ulli|raw onion|piyaz,50,1.2,0.1,11.0,1.7,4,0,0.02,gi:low,veg|eggetarian|non_veg|vegan,,low,manual,,piece=60*
Tomato (raw),टमाटर,tomato|tamatar|tamaatar|thakkali|tomoto,21,0.9,0.2,3.9,1.2,5,0,0.03,gi:low|attr:vitamin_c|attr:hydrating,veg|eggetarian|non_veg|vegan|jain,,low,manual,,piece=80*
Brinjal (cooked),बैंगन,brinjal|baingan|began|eggplant|aubergine|vangi|katrikai|baigan,65,1.4,3.5,7.0,3.0,260,0,1.4,gi:low|attr:high_fibre|meal:dinner,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Lauki (cooked),लौकी,lauki|bottle gourd|dudhi|ghiya|sorakaya|calabash|loki,39,0.7,2.5,3.5,1.0,250,0,1.0,gi:low|attr:low_fat|attr:hydrating|meal:dinner,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Tinda (cooked),टिंडा,tinda|apple gourd|round gourd|indian squash,42,1.0,2.5,4.0,1.2,250,0,1.0,gi:low|attr:hydrating|meal:dinner,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
